order_id,customer_id,product_id,order_date,quantity,status
ORD000001,CUST07641,PROD0003,2022-12-24,3,
ORD000002,CUST09936,PROD0009,2023-12-14,1,
ORD000003,CUST06306,PROD0039,2024-08-24,2,
ORD000004,CUST05246,PROD0097,14-06-1991,2,Cancelled
ORD000005,CUST05492,PROD0043,2023-11-11,1,Completed
ORD000006,CUST06288,PROD0097,2023-10-27,2,Cancelled
ORD000007,CUST06791,PROD0099,2023-10-19,4,Pending
ORD000008,CUST02015,PROD0004,2025-05-19,1,Pending
ORD000009,CUST06439,PROD0088,18-10-1986,2,Pending
ORD000010,CUST07570,PROD0050,2024-04-26,3,Pending
ORD000011,CUST06013,PROD0089,2023-08-03,3,Pending
ORD000012,CUST03983,PROD0100,08-04-1996,5,Completed
ORD000013,CUST06608,PROD0025,2023-01-01,1,
ORD000014,CUST05031,PROD0017,2023-05-15,2,
ORD000015,CUST00335,PROD0041,2022-09-27,3,Cancelled
ORD000016,CUST07279,PROD0006,2023-10-29,2,
ORD000017,CUST07535,PROD0050,2025-05-21,4,Cancelled
ORD000018,CUST04471,PROD0087,2024-04-07,5,Cancelled
ORD000019,CUST09932,PROD0041,2022-12-30,3,Cancelled
ORD000020,CUST06915,PROD0048,2024-10-10,2,Pending
ORD000021,CUST01598,PROD0034,2022-09-04,2,
ORD000022,CUST07813,PROD0006,2023-01-24,5,
ORD000023,CUST06636,PROD0078,2024-01-22,3,
ORD000024,CUST06146,PROD0015,2023-02-26,1,
ORD000025,CUST08625,PROD0039,2023-07-04,2,Cancelled
ORD000026,CUST01791,PROD0073,2023-09-11,2,
ORD000027,CUST04373,PROD0097,2023-06-08,1,Cancelled
ORD000028,CUST09215,PROD0027,2024-04-25,2,Cancelled
ORD000029,CUST05764,PROD0097,2025-06-19,3,
ORD000030,CUST08141,PROD0042,2025-07-05,3,Completed
ORD000031,CUST00200,PROD0011,2023-11-18,4,Cancelled
ORD000032,CUST00965,PROD0003,2023-12-11,3,Cancelled
ORD000033,CUST04755,PROD0081,2023-03-03,2,
ORD000034,CUST01561,PROD0089,17-07-1982,1,Cancelled
ORD000035,CUST07693,PROD0007,2025-06-29,3,Cancelled
ORD000036,CUST05927,PROD0052,2024-08-29,2,Pending
ORD000037,CUST08962,PROD0096,01-01-1992,2,Cancelled
ORD000038,CUST02059,PROD0097,2023-01-07,4,Completed
ORD000039,CUST08111,PROD0075,2024-05-21,2,Pending
ORD000040,CUST00409,PROD0018,2023-09-14,5,Pending
ORD000041,CUST04957,PROD0087,2023-05-21,4,
ORD000042,CUST06475,PROD0030,2023-12-18,3,Pending
ORD000043,CUST06977,PROD0020,2023-12-23,4,
ORD000044,CUST05925,PROD0003,2023-12-19,2,
ORD000045,CUST07395,PROD0007,2024-05-11,2,Pending
ORD000046,CUST04394,PROD0093,2024-01-25,4,Cancelled
ORD000047,CUST01596,PROD0070,2025-05-30,3,Cancelled
ORD000048,CUST01872,PROD0089,01-12-1993,5,Cancelled
ORD000049,CUST00829,PROD0098,2024-12-04,5,Cancelled
ORD000050,CUST01072,PROD0090,2024-02-09,4,Cancelled
ORD000051,CUST00589,PROD0083,2022-09-06,2,Pending
ORD000052,CUST08706,PROD0052,2025-02-11,3,
ORD000053,CUST04568,PROD0024,2025-04-05,5,
ORD000054,CUST04787,PROD0036,2023-04-26,1,Completed
ORD000055,CUST00826,PROD0004,2023-07-03,4,
ORD000056,CUST08971,PROD0064,2023-02-20,3,Pending
ORD000057,CUST07121,PROD0023,2024-06-10,3,Completed
ORD000058,CUST00930,PROD0027,2024-02-18,1,Pending
ORD000059,CUST02447,PROD0042,2024-08-06,5,Pending
ORD000060,CUST02172,PROD0063,2025-04-27,2,Cancelled
ORD000061,CUST05670,PROD0082,03-09-2004,4,Completed
ORD000062,CUST08612,PROD0062,2023-01-15,1,Pending
ORD000063,CUST03347,PROD0013,31-03-1975,4,Cancelled
ORD000064,CUST00009,PROD0049,2022-10-17,5,Cancelled
ORD000065,CUST00518,PROD0018,2025-05-13,4,Pending
ORD000066,CUST05561,PROD0010,2025-01-15,2,Cancelled
ORD000067,CUST05335,PROD0024,28-06-1993,2,Pending
ORD000068,CUST09306,PROD0086,2025-05-09,3,Pending
ORD000069,CUST08609,PROD0048,2025-06-01,1,
ORD000070,CUST01934,PROD0021,2023-06-08,3,
ORD000071,CUST04071,PROD0005,2023-06-04,1,
ORD000072,CUST05178,PROD0096,2023-08-05,3,Completed
ORD000073,CUST03852,PROD0072,2024-02-17,4,
ORD000074,CUST09244,PROD0033,2022-12-10,4,Completed
ORD000075,CUST00632,PROD0021,29-05-1993,2,Completed
ORD000076,CUST01857,PROD0008,2023-06-17,5,Pending
ORD000077,CUST04300,PROD0076,2022-11-30,4,Completed
ORD000078,CUST05793,PROD0061,2025-03-05,3,Cancelled
ORD000079,CUST02329,PROD0042,2023-06-30,3,Cancelled
ORD000080,CUST01101,PROD0024,2025-04-03,1,Pending
ORD000081,CUST04095,PROD0013,2022-11-03,3,
ORD000082,CUST02049,PROD0015,2025-06-28,2,
ORD000083,CUST06613,PROD0050,2022-11-10,2,Cancelled
ORD000084,CUST09696,PROD0057,2024-03-16,1,
ORD000085,CUST03364,PROD0065,2025-08-10,4,Cancelled
ORD000086,CUST00937,PROD0004,26-10-1992,4,
ORD000087,CUST00378,PROD0008,2023-05-07,3,Pending
ORD000088,CUST05480,PROD0059,2024-04-03,1,Pending
ORD000089,CUST03835,PROD0066,2023-03-20,1,
ORD000090,CUST05996,PROD0047,2024-12-20,3,Completed
ORD000091,CUST08899,PROD0093,2025-01-30,5,Completed
ORD000092,CUST03553,PROD0040,2025-04-08,2,Completed
ORD000093,CUST08044,PROD0030,2024-04-18,5,Cancelled
ORD000094,CUST03119,PROD0077,2023-04-30,4,Pending
ORD000095,CUST04275,PROD0088,2024-03-03,5,Completed
ORD000096,CUST05479,PROD0052,2025-07-25,5,Pending
ORD000097,CUST02632,PROD0063,2024-01-01,5,Completed
ORD000098,CUST02270,PROD0046,2023-05-07,4,Completed
ORD000099,CUST01344,PROD0020,2023-11-04,4,
ORD000100,CUST05986,PROD0076,2024-10-24,5,Pending
ORD000101,CUST08313,PROD0044,2023-02-19,1,Cancelled
ORD000102,CUST05294,PROD0032,2023-09-17,3,Cancelled
ORD000103,CUST05002,PROD0089,2023-06-30,2,Cancelled
ORD000104,CUST02907,PROD0033,2023-02-16,3,Cancelled
ORD000105,CUST06936,PROD0087,2024-05-18,4,
ORD000106,CUST01357,PROD0013,2024-10-21,3,Pending
ORD000107,CUST02603,PROD0028,2023-02-11,5,Cancelled
ORD000108,CUST08537,PROD0005,2023-12-07,3,Cancelled
ORD000109,CUST04041,PROD0018,24-01-2019,4,Completed
ORD000110,CUST00593,PROD0076,2023-05-09,4,Pending
ORD000111,CUST05094,PROD0015,13-05-2018,4,Cancelled
ORD000112,CUST03175,PROD0086,2024-09-13,5,
ORD000113,CUST00817,PROD0024,2025-01-20,5,Completed
ORD000114,CUST08039,PROD0070,2024-02-19,4,
ORD000115,CUST04601,PROD0055,2023-10-27,3,Cancelled
ORD000116,CUST03445,PROD0001,2024-09-15,3,
ORD000117,CUST06125,PROD0026,2025-08-02,2,Completed
ORD000118,CUST01532,PROD0039,2025-02-25,4,Pending
ORD000119,CUST08107,PROD0012,2022-09-18,5,
ORD000120,CUST06089,PROD0063,14-01-1982,4,Completed
ORD000121,CUST01743,PROD0043,2024-11-05,4,Completed
ORD000122,CUST09309,PROD0016,2025-03-31,2,Pending
ORD000123,CUST05299,PROD0091,2023-12-29,4,Completed
ORD000124,CUST09517,PROD0007,2022-12-06,2,Pending
ORD000125,CUST09204,PROD0063,2022-10-25,5,Cancelled
ORD000126,CUST05229,PROD0074,2024-12-29,5,Cancelled
ORD000127,CUST06193,PROD0005,2024-06-19,4,Pending
ORD000128,CUST03632,PROD0037,2024-01-15,1,
ORD000129,CUST05595,PROD0075,29-04-1976,1,Cancelled
ORD000130,CUST05478,PROD0089,2025-02-12,3,Pending
ORD000131,CUST06046,PROD0035,2025-03-16,4,Pending
ORD000132,CUST03849,PROD0071,2025-06-15,4,Completed
ORD000133,CUST04899,PROD0095,2025-03-03,2,Cancelled
ORD000134,CUST06707,PROD0031,25-06-1982,5,Pending
ORD000135,CUST07982,PROD0061,2024-07-15,4,Completed
ORD000136,CUST08815,PROD0070,2024-01-17,1,Cancelled
ORD000137,CUST04398,PROD0100,2024-11-26,3,
ORD000138,CUST01669,PROD0058,2024-03-02,1,Completed
ORD000139,CUST05612,PROD0043,2024-11-29,5,Cancelled
ORD000140,CUST00554,PROD0012,2024-09-29,1,Pending
ORD000141,CUST09945,PROD0019,2023-02-19,2,Cancelled
ORD000142,CUST07390,PROD0036,2023-09-29,3,Pending
ORD000143,CUST00582,PROD0002,2024-06-10,4,
ORD000144,CUST07485,PROD0004,2025-03-31,2,Completed
ORD000145,CUST05412,PROD0021,08-04-2013,1,Pending
ORD000146,CUST06683,PROD0003,2025-04-30,3,
ORD000147,CUST02525,PROD0095,2022-12-19,1,
ORD000148,CUST06051,PROD0031,2025-06-22,3,Pending
