payment_id,order_id,payment_date,payment_method,amount,currency
PAY000001,ORD003389,2025-05-18,Credit Card,2949.67,USD
PAY000002,ORD003685,2025-06-04,Credit Card,775.1,GBP
PAY000003,ORD000080,2004/08/28,Wallet,4617.81,INR
PAY000004,ORD004033,2024-02-19,Net Banking,4720.7,GBP
PAY000005,ORD001046,2022-12-22,Debit Card,3973.63,INR
PAY000006,ORD001444,2023-09-04,Credit Card,4166.77,INR
PAY000007,ORD000830,2023-10-17,Net Banking,2400.28,GBP
PAY000008,ORD004082,2024-10-20,Wallet,78.49,INR
PAY000009,ORD004473,2024-06-26,Wallet,3554.76,GBP
PAY000010,ORD004032,2022-10-27,Credit Card,,USD
PAY000011,ORD001086,2025-08-16,Wallet,2313.43,INR
PAY000012,ORD001346,2022-12-31,Wallet,4643.81,EUR
PAY000013,ORD000434,2023-10-05,Wallet,2422.48,INR
PAY000014,ORD003508,2022/11/25,Wallet,2676.58,INR
PAY000015,ORD004314,2024-01-28,Wallet,1708.48,GBP
PAY000016,ORD000483,2023-09-06,UPI,3127.15,GBP
PAY000017,ORD003644,2024-07-10,Credit Card,2229.49,INR
PAY000018,ORD001077,2023-05-10,Net Banking,1316.07,GBP
PAY000019,ORD001625,2025-06-18,Debit Card,4523.37,EUR
PAY000020,ORD001080,2025-02-10,Debit Card,3474.32,INR
PAY000021,ORD001218,2025/02/27,Net Banking,4364.75,INR
PAY000022,ORD001612,2024-04-14,Credit Card,,INR
PAY000023,ORD003807,2023-11-19,Wallet,3065.97,INR
PAY000024,ORD001601,2023-05-30,Credit Card,1487.43,EUR
PAY000025,ORD001084,2022-12-20,UPI,1885.32,EUR
PAY000026,ORD002216,2022-12-26,UPI,1545.37,INR
PAY000027,ORD004903,2025-02-08,Credit Card,2716.11,GBP
PAY000028,ORD002826,2023-04-20,UPI,524.95,USD
PAY000029,ORD004532,2023-11-06,UPI,2465.19,USD
PAY000030,ORD002975,2023-03-21,UPI,3905.5,INR
PAY000031,ORD001838,2024-12-27,Net Banking,641.73,USD
PAY000032,ORD004804,2023-05-21,Debit Card,774.48,INR
PAY000033,ORD004185,2025-06-18,Wallet,3359.91,EUR
PAY000034,ORD002234,2024-04-09,Debit Card,2857.56,EUR
PAY000035,ORD001278,2018/01/24,Credit Card,375.25,INR
PAY000036,ORD003082,2025-07-07,Debit Card,1531.48,INR
PAY000037,ORD004791,2023-05-11,UPI,4073.03,INR
PAY000038,ORD001951,2001/04/30,Wallet,4440.42,GBP
PAY000039,ORD002513,2022-10-28,Wallet,3843.06,INR
PAY000040,ORD004931,2022-11-06,UPI,3326.51,INR
PAY000041,ORD000588,2025-04-01,Credit Card,4793.9,GBP
PAY000042,ORD002246,2025-06-08,Net Banking,2896.05,USD
PAY000043,ORD003342,2024-07-15,UPI,,EUR
PAY000044,ORD000839,2023-11-24,Debit Card,1862.28,EUR
PAY000045,ORD004038,2025-02-25,UPI,1250.3,USD
PAY000046,ORD004594,2024-03-11,Wallet,29.47,USD
PAY000047,ORD000843,2024-03-26,Debit Card,946.37,INR
PAY000048,ORD004809,2024-09-20,Debit Card,4614.54,GBP
PAY000049,ORD000362,2023-10-14,Debit Card,4878.38,GBP
PAY000050,ORD000656,2023-02-28,Net Banking,3818.23,USD
PAY000051,ORD002133,2024-06-24,Debit Card,2234.43,USD
PAY000052,ORD004488,2023-06-05,Credit Card,156.63,GBP
PAY000053,ORD003616,2023-08-13,UPI,4077.02,EUR
PAY000054,ORD004592,2025-04-24,Debit Card,1541.45,INR
PAY000055,ORD003185,2024-07-09,Debit Card,872.5,USD
PAY000056,ORD004242,2023-10-26,Credit Card,4753.01,EUR
PAY000057,ORD000134,2023-09-14,UPI,4098.38,EUR
PAY000058,ORD002760,2022-11-27,Net Banking,4271.54,GBP
PAY000059,ORD000918,2023-03-12,UPI,500.73,USD
PAY000060,ORD001079,2024-04-19,Wallet,,INR
PAY000061,ORD004329,2024-07-12,Debit Card,728.78,GBP
PAY000062,ORD004566,2023-08-28,Debit Card,1627.96,INR
PAY000063,ORD003844,2022-10-23,Net Banking,3371.51,GBP
PAY000064,ORD003111,2023-07-10,Wallet,223.7,USD
PAY000065,ORD004195,2023-12-09,Credit Card,628.79,USD
PAY000066,ORD004003,2022-10-28,UPI,81.38,GBP
PAY000067,ORD002366,2023-06-26,UPI,474.67,INR
PAY000068,ORD002375,2023-06-27,UPI,2987.45,INR
PAY000069,ORD004913,2025-05-21,Debit Card,4232.37,GBP
PAY000070,ORD004990,2024-09-26,Net Banking,1327.84,GBP
PAY000071,ORD001801,2025-06-12,Net Banking,486.1,USD
PAY000072,ORD003673,2023-04-02,UPI,3640.69,USD
PAY000073,ORD002236,2024-01-11,UPI,3865.33,EUR
PAY000074,ORD004160,2022-10-05,Net Banking,2461.41,INR
PAY000075,ORD000262,2024-07-23,UPI,4747.02,INR
PAY000076,ORD000750,2024-03-18,Wallet,4973.83,INR
PAY000077,ORD000116,2024-10-06,Wallet,4505.05,GBP
PAY000078,ORD002496,1971/05/21,Debit Card,1530.68,GBP
PAY000079,ORD004451,2007/08/22,Net Banking,4636.82,INR
PAY000080,ORD003458,2024-06-26,Wallet,2135.25,EUR
PAY000081,ORD000956,2024-12-09,UPI,4929.37,USD
PAY000082,ORD001009,2024-04-30,UPI,882.66,INR
PAY000083,ORD000115,2024-06-15,Credit Card,2211.97,GBP
PAY000084,ORD004457,2024-04-20,Debit Card,4327.99,EUR
PAY000085,ORD004325,2022-10-20,UPI,3554.59,INR
PAY000086,ORD003037,2023-08-12,Net Banking,3646.76,INR
PAY000087,ORD000212,2024-08-04,Debit Card,765.04,USD
PAY000088,ORD003293,1999/05/27,Wallet,2359.74,USD
PAY000089,ORD004880,2022-09-21,Debit Card,4118.93,EUR
PAY000090,ORD000982,2025-02-25,UPI,2582.75,USD
PAY000091,ORD000364,2019/01/24,Debit Card,1393.48,GBP
PAY000092,ORD001281,2025-05-18,UPI,1294.68,USD
PAY000093,ORD002860,2023-01-03,Net Banking,4076.73,USD
PAY000094,ORD001264,2023-04-05,Debit Card,4146.38,EUR
PAY000095,ORD000673,2025-06-27,Debit Card,3177.1,USD
PAY000096,ORD004234,2023-01-07,Credit Card,2111.48,EUR
PAY000097,ORD001370,2022-10-17,Net Banking,4619.5,EUR
PAY000098,ORD003863,2023-07-07,Credit Card,3292.96,GBP
PAY000099,ORD000158,2025-02-10,Wallet,2999.13,GBP
PAY000100,ORD001867,2025-03-08,Net Banking,2081.37,INR
PAY000101,ORD004438,2024-06-03,Wallet,2840.79,GBP
PAY000102,ORD000787,2023-07-17,UPI,2479.31,GBP
PAY000103,ORD003963,2023-10-27,Debit Card,2698.81,USD
PAY000104,ORD004514,2022-11-06,UPI,1832.78,GBP
PAY000105,ORD001842,2025-02-03,Debit Card,1214.38,USD
PAY000106,ORD002966,2025-04-10,Debit Card,2299.82,INR
PAY000107,ORD001725,2023-04-08,Net Banking,3969.17,USD
PAY000108,ORD004211,2024-12-18,UPI,2723.61,USD
PAY000109,ORD000561,2025-06-20,Net Banking,3429.66,USD
PAY000110,ORD002177,2024-02-07,Credit Card,858.46,GBP
PAY000111,ORD004604,2024-12-19,UPI,2503.45,GBP
PAY000112,ORD000802,2023-06-24,UPI,4013.48,INR
PAY000113,ORD001671,2025-08-15,UPI,1724.19,USD
PAY000114,ORD002767,2022-10-10,UPI,4927.77,INR
PAY000115,ORD003484,2023-03-03,Credit Card,716.48,GBP
PAY000116,ORD004522,2023-12-07,Debit Card,4690.76,EUR
PAY000117,ORD000816,2023-03-01,Wallet,3432.15,EUR
PAY000118,ORD001501,2024-01-19,Wallet,1125.28,USD
PAY000119,ORD002375,2024-04-16,UPI,4233.25,GBP
PAY000120,ORD004804,2024-03-29,Net Banking,2589.43,USD
PAY000121,ORD003346,2023-03-08,Wallet,1628.96,USD
PAY000122,ORD002691,2024-07-18,Wallet,1885.83,USD
PAY000123,ORD000094,2022-10-04,Net Banking,2069.65,GBP
PAY000124,ORD000734,2022-10-28,Wallet,2376.58,GBP
PAY000125,ORD003767,2023-05-28,Credit Card,3704.91,EUR
PAY000126,ORD004254,2024-09-07,Credit Card,4939.52,GBP
PAY000127,ORD002345,2025-03-02,UPI,1346.02,USD
PAY000128,ORD001352,2024-08-11,Net Banking,775.68,GBP
PAY000129,ORD003798,2024-11-01,Wallet,1689.66,EUR
PAY000130,ORD004627,2024-02-22,Wallet,2894.77,GBP
PAY000131,ORD004781,2025-07-27,Debit Card,1912.19,INR
PAY000132,ORD001988,2025-05-18,Credit Card,891.29,INR
PAY000133,ORD004943,2023-04-22,Net Banking,2294.84,GBP
PAY000134,ORD002549,2023-02-23,Credit Card,2856.25,USD
PAY000135,ORD004881,2024-07-08,UPI,1193.68,INR
PAY000136,ORD001121,2023-04-20,Wallet,4485.77,GBP
PAY000137,ORD004226,2024-11-24,Debit Card,3929.31,GBP
PAY000138,ORD002955,2024-06-15,UPI,3458.7,GBP
PAY000139,ORD000582,2022-12-17,Credit Card,2357.17,INR
PAY000140,ORD003829,2023-03-03,Credit Card,2559.29,INR
PAY000141,ORD000472,2023-03-11,Credit Card,3892.91,INR
PAY000142,ORD000699,2025-08-19,Debit Card,4341.86,INR
PAY000143,ORD003153,2022-10-29,Wallet,1668.2,INR
PAY000144,ORD002066,2024-01-03,Net Banking,1751.84,USD
PAY000145,ORD000530,2022-10-10,UPI,3106.86,INR
PAY000146,ORD002177,2023-11-21,Credit Card,4569.88,USD
PAY000147,ORD000165,2025-07-23,Credit Card,2650.46,GBP
PAY000148,ORD004363,2023-12-04,Net Banking,2883.5,INR
PAY000149,ORD004778,2020/12/06,Wallet,1671.59,EUR
PAY000150,ORD002153,2024-10-13,Net Banking,87.88,EUR
PAY000151,ORD004505,2024-02-12,Net Banking,1595.98,INR
PAY000152,ORD004319,2024-07-10,Wallet,2144.71,GBP
PAY000153,ORD004788,2024-01-26,Credit Card,2342.58,GBP
PAY000154,ORD004806,2025-04-03,Wallet,,USD
PAY000155,ORD003811,2023-07-03,Credit Card,1387.26,GBP
PAY000156,ORD000360,2024-05-22,Net Banking,3294.07,INR
PAY000157,ORD003051,2022-10-05,Wallet,4040.07,USD
